molecule,temperature,sim_liq_density,sim_vap_density,sim_Pvap,sim_Hvap,sim_surf_tens,sim_diff_coeff,sim_Tc,sim_rhoc,ref_name,short_name
MeOH,250.0,831.338,0.0,0.003,,27.75,,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,298.0,781.716,0.04,0.051,,23.15,2e-09,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,400.0,672.232,3.45,2.9,,14.05,,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,450.0,605.457,13.8,11.302,,9.15,,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,475.0,556.825,26.28,20.183,,6.6,,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,500.0,462.739,49.44,33.114,,3.65,,521.9,255.0,Martinez-Jimenez et. al.,MJ
MeOH,270.0,,,0.041613,,,,,,Jorgensen,Jorgensen
MeOH,280.0,780.8753805,0.11,0.078079,,,,489.9727,268.39,Jorgensen,Jorgensen
MeOH,300.0,761.1030286,0.319,0.239138,,,,489.9727,268.39,Jorgensen,Jorgensen
MeOH,350.0,706.6616835,2.6,2.09765,,,,489.9727,268.39,Jorgensen,Jorgensen
MeOH,400.0,641.0370952,12.5,10.1483,,,,489.9727,268.39,Jorgensen,Jorgensen
MeOH,450.0,546.6542126,45.9,32.7799,,,,489.9727,268.39,Jorgensen,Jorgensen
MeOH,270.0,,,0.018467,,,,,,Gonzalez-Salgado & Vega,GSV
MeOH,280.0,803.8807,0.049,0.035394,,,,521.4528,265.23,Gonzalez-Salgado & Vega,GSV
MeOH,300.0,783.1706,0.15,0.112876,,,,521.4528,265.23,Gonzalez-Salgado & Vega,GSV
MeOH,350.0,732.087,1.295,1.09259,,,,521.4528,265.23,Gonzalez-Salgado & Vega,GSV
MeOH,400.0,674.2341,6.738,5.70621,,15.3,,521.4528,265.23,Gonzalez-Salgado & Vega,GSV
MeOH,450.0,599.0456,24.431,19.58,,10.8,,521.4528,265.23,Gonzalez-Salgado & Vega,GSV
MeOH,250.0,,,,,29.15,,,,Gonzalez-Salgado & Vega,GSV
MeOH,298.0,,,,,24.7,,,,Gonzalez-Salgado & Vega,GSV
MeOH,500.0,,,,,5.8,,,,Gonzalez-Salgado & Vega,GSV
EG,325.0,1083.18357,0.001433817,0.000925,1131.73836,,,722.0,366.213,Huang et. al.,Huang
EG,350.0,1066.42467,0.006908391,0.0051,1123.183502,,,722.0,366.213,Huang et. al.,Huang
EG,400.0,1032.013062,0.13667814,0.07226,1063.573385,,,722.0,366.213,Huang et. al.,Huang
EG,450.0,991.481352,1.3854024,0.5144,985.564685,,,722.0,366.213,Huang et. al.,Huang
Gly,320.0,1240.0,,,,,2.2e-09,,,Jahn et. al.,Jahn
Gly,350.0,1214.0,,,,,4.06e-08,,,Jahn et. al.,Jahn
Gly,380.0,1191.0,,,,,2.67e-07,,,Jahn et. al.,Jahn
Gly,400.0,1173.0,,,,,7.02e-07,,,Jahn et. al.,Jahn
DMF,298.15,,,,46.08,36.1,,,,Caleman et. al.,Caleman
DMF,308.0,960.0,,0.010022,,,,,,Vahid & Maginn,VE
DMF,311.0,955.0,,0.0157,,,,,,Vahid & Maginn,VE
DMF,313.0,935.0,,0.019419,,,,,,Vahid & Maginn,VE
DMF,324.0,944.0,,0.021853,,,,,,Vahid & Maginn,VE
DMF,328.0,943.0,,0.025181,,,,,,Vahid & Maginn,VE
DMF,298.0,,,,,,1.25e-09,,,Chalaris & Samios,CS
DMSO,298.0,1080.0,,,,33.9,1.05e-09,,,Senapati,Senapati
DMSO,323.0,1050.0,,,,29.6,1.7e-09,,,Senapati,Senapati
DMSO,348.0,1010.0,,,,24.9,2e-09,,,Senapati,Senapati
DMSO,373.0,980.0,,,,22.3,2.5e-09,,,Senapati,Senapati
DMSO,298.0,,,,670.9330603,,,,,Borin & Skaf,BS
DMSO,355.0,,,0.01674,,,,,,Vahid & Maginn,VE
DMSO,367.0,,,0.030729,,,,,,Vahid & Maginn,VE
